,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
0,Toyota,Prado,2019,Gris,Diésel,5,Automática,3.0,Camioneta,47000 km,265.000.000,https://carro.mercadolibre.com.co/MCO-936688286-toyota-prado-30-txl-_JM,Pinares - Pereira - Risaralda
1,Volvo,S60,2013,Plateado,Gasolina,4,Automática,3.0,Sedán,81000 km,54.500.000,https://carro.mercadolibre.com.co/MCO-918869516-volvo-s60-30-t6-awd-polestar-_JM,Centro - Pereira - Risaralda
2,Toyota,Fortuner,2019,Plateado,Gasolina,5,Automática,2.7,Camioneta,44000 km,169.500.000,https://carro.mercadolibre.com.co/MCO-907952032-toyota-_JM,Pinares - Pereira - Risaralda
3,Mercedes-Benz,Clase B,2013,Blanco,Gasolina,4,Mecánica,1.6,Hatchback,103000 km,45.500.000,https://carro.mercadolibre.com.co/MCO-924519158-mercedes-benz-_JM,Gamma - Pereira - Risaralda
4,Subaru,Legacy,2008,Gris,Gasolina,4,Mecánica,2.0,Sedán,136000 km,32.990.000,https://carro.mercadolibre.com.co/MCO-927792029-subaru-legacy-20-awd-4-p-_JM,Belmonte - Pereira - Risaralda
5,Chevrolet,Tracker,2018,Azul,Gasolina,5,Mecánica,1.8,Camioneta,46000 km,62.900.000,https://carro.mercadolibre.com.co/MCO-928096032-chevrolet-tracker-18-lt-_JM,Maraya - Pereira - Risaralda
6,JMC,Tiger 7,2019,Blanco,Diésel,4,Mecánica,2800,Camioneta,70000 km,82.500.000,https://carro.mercadolibre.com.co/MCO-913350402-jmc-tiger-7-2019-placa-publica-_JM,30 de Agosto - Pereira - Risaralda
7,Renault,Twizy,2016,Blanco,Eléctrico,3,Automática,Hatchback,NA,23000 km,29.990.000,https://carro.mercadolibre.com.co/MCO-907967480-renault-twizy-cargo-no-pasajero-adicional-_JM,Lunes a sabado de 9am a 5pm
8,Kia,Sportage,2010,Negro,Gasolina,5,Mecánica,2.0,Camioneta,150000 km,46.500.000,https://carro.mercadolibre.com.co/MCO-930123943-kia-sportage-fq-4x4-2010-_JM,Turin - Pereira - Risaralda
9,Suzuki,Swift,2020,Blanco,Gasolina,4,Mecánica,1.2,Sedán,46000 km,52.000.000,https://carro.mercadolibre.com.co/MCO-925464883-suzuki-swift-2020-12-dzire-_JM,Pereira - Risaralda
10,Volkswagen,Crossfox,2016,Gasolina,5,Mecánica,1.6,Camioneta,NA,113000 km,46.000.000,https://carro.mercadolibre.com.co/MCO-920397767-volkswagen-crossfox-2016-16-wild-_JM,Pereira - Risaralda
11,Kia,Picanto,2014,Gris,Gasolina,5,Mecánica,1.2,Hatchback,77000 km,36.500.000,https://carro.mercadolibre.com.co/MCO-939249242-kia-picanto-ex-mt-1250-techo-2014-_JM,Turin - Pereira - Risaralda
12,Chevrolet,Samurai,1999,Blanco,Gasolina,5,Mecánica,1.3,Camioneta,98000 km,25.000.000,https://carro.mercadolibre.com.co/MCO-938846862-chevrolet-samurai-13-1999-_JM,Turin - Pereira - Risaralda
13,Mazda,2,2020,Gris,Gasolina,4,Automática,1.5,Sedán,42000 km,63.900.000,https://carro.mercadolibre.com.co/MCO-921542277-mazda-2-15-prime-_JM,Gamma - Pereira - Risaralda
14,Chevrolet,Optra,2010,Gris,Gasolina,4,Mecánica,1.6,Sedán,112000 km,26.900.000,https://carro.mercadolibre.com.co/MCO-937632514-chevrolet-optra-mt-1600-2010-_JM,Turin - Pereira - Risaralda
15,Hyundai,i10,2012,Rojo,Gasolina,5,Mecánica,1.1,Hatchback,110000 km,23.700.000,https://carro.mercadolibre.com.co/MCO-931392083-hyundai-i10-11-gl-_JM,Corales - Pereira - Risaralda
16,Kia,Rio,2012,Rojo,Gasolina,5,Automática,1.4,Hatchback,130000 km,41.500.000,https://carro.mercadolibre.com.co/MCO-939031770-kia-rio-spice-automatico-1400-2012-_JM,Turin - Pereira - Risaralda
17,Chevrolet,Spark,2017,Plateado,Gasolina,5,Mecánica,1.2,Hatchback,44000 km,37.000.000,https://carro.mercadolibre.com.co/MCO-938318869-chevrolet-spark-gt-ltz-2017-_JM,Turin - Pereira - Risaralda
18,Chevrolet,Grand Vitara,2006,Plateado,Gasolina,5,Mecánica,2.0,Camioneta,250000 km,41.500.000,https://carro.mercadolibre.com.co/MCO-938336639-chevrolet-grand-vitara-4x4-2006-_JM,Turin - Pereira - Risaralda
